City,State,ID,Population of City,Count
Port Clarence,AK,1,40,1
Port Graham,AK,1,206,1
Port Heiden,AK,1,81,1
Port Lions,AK,1,231,1
Port Protection,AK,1,82,1
Primrose,AK,1,73,1
Prudhoe Bay,AK,1,2724,1
Quinhagak,AK,1,661,1
Rampart,AK,1,7,1
Red Devil,AK,1,22,1
Red Dog Mine,AK,1,81,1
Ridgeway,AK,1,2195,1
Ruby,AK,1,202,1
Russian Mission,AK,1,410,1
St. George,AK,1,53,1
St. Mary's,AK,1,583,1
St. Michael,AK,1,396,1
St. Paul,AK,1,576,1
Salamatof,AK,1,1110,1
Salcha,AK,1,984,1
Sand Point,AK,1,1188,1
Savoonga,AK,1,883,1
Saxman,AK,1,401,1
Scammon Bay,AK,1,488,1
Selawik,AK,1,794,1
Seldovia,AK,1,243,1
Seldovia Village,AK,1,174,1
Seward,AK,1,2710,1
Shageluk,AK,1,43,1
Shaktoolik,AK,1,223,1
Shishmaref,AK,1,573,1
Shungnak,AK,1,342,1
Silver Springs,AK,1,168,1
Sitka city and borough,AK,1,8943,1
Skagway,AK,1,957,1
Skwentna,AK,1,42,1
Slana,AK,1,84,1
Sleetmute,AK,1,96,1
Soldotna,AK,1,4409,1
South Naknek,AK,1,63,1
South Van Horn,AK,1,581,1
Stebbins,AK,1,547,1
Steele Creek,AK,1,6272,1
Sterling,AK,1,6054,1
Stevens Village,AK,1,25,1
Stony River,AK,1,40,1
Sunrise,AK,1,15,1
Susitna,AK,1,0,1
Susitna North,AK,1,1404,1
Sutton-Alpine,AK,1,1602,1
Takotna,AK,1,49,1
Talkeetna,AK,1,616,1
Tanacross,AK,1,127,1
Tanaina,AK,1,9640,1
Tanana,AK,1,277,1
Tatitlek,AK,1,86,1
Tazlina,AK,1,358,1
Teller,AK,1,165,1
Tenakee Springs,AK,1,150,1
Tetlin,AK,1,121,1
Thorne Bay,AK,1,566,1
Togiak,AK,1,787,1
Tok,AK,1,1331,1
Toksook Bay,AK,1,549,1
Tolsona,AK,1,0,1
Tonsina,AK,1,30,1
Trapper Creek,AK,1,432,1
Tuluksak,AK,1,436,1
Tuntutuliak,AK,1,466,1
Tununak,AK,1,294,1
Twin Hills,AK,1,95,1
Two Rivers,AK,1,238,1
Tyonek,AK,1,214,1
Ugashik,AK,1,19,1
Unalakleet,AK,1,710,1
Unalaska,AK,1,4619,1
Upper Kalskag,AK,1,284,1
Valdez,AK,1,3979,1
Venetie,AK,1,177,1
Wainwright,AK,1,458,1
Wales,AK,1,155,1
Wasilla,AK,1,8676,1
Whale Pass,AK,1,16,1
White Mountain,AK,1,179,1
Whitestone,AK,1,195,1
Whitestone Logging Camp,AK,1,0,1
Whittier,AK,1,295,1
Willow,AK,1,2085,1
Willow Creek,AK,1,8,1
Wiseman,AK,1,11,1
Womens Bay,AK,1,852,1
Wrangell city and borough,AK,1,2387,1
Yakutat,AK,1,597,1
Adak,AK,1,122,1
Akhiok,AK,1,84,1
Akiachak,AK,1,562,1
Akiak,AK,1,399,1
Akutan,AK,1,899,1
Alakanuk,AK,1,777,1
