Report of US Population from 2015
City                                     State      ID         Population of City                       Count     
Challenge-Brownsville                    CA         5          788                                      2736      
Channel Islands Beach                    CA         5          3072                                     2737      
Charter Oak                              CA         5          9247                                     2738      
Cherokee                                 CA         5          111                                      2739      
Cherokee Strip                           CA         5          243                                      2740      
Cherryland                               CA         5          15470                                    2741      
Cherry Valley                            CA         5          6798                                     2742      
Chester                                  CA         5          2044                                     2743      
Chico                                    CA         5          88455                                    2744      
Chilcoot-Vinton                          CA         5          46                                       2745      
China Lake Acres                         CA         5          1820                                     2746      
Chinese Camp                             CA         5          170                                      2747      
Chino                                    CA         5          82208                                    2748      
Chino Hills                              CA         5          76796                                    2749      
Chowchilla                               CA         5          18384                                    2750      
Chualar                                  CA         5          1229                                     2751      
Chula Vista                              CA         5          257296                                   2752      
Citrus                                   CA         5          11460                                    2753      
Citrus Heights                           CA         5          85408                                    2754      
Claremont                                CA         5          35762                                    2755      
Clarksburg                               CA         5          472                                      2756      
Clay                                     CA         5          1113                                     2757      
Clayton                                  CA         5          11497                                    2758      
Clear Creek                              CA         5          217                                      2759      
Clearlake                                CA         5          15097                                    2760      
Clearlake Oaks                           CA         5          1651                                     2761      
Clearlake Riviera                        CA         5          2973                                     2762      
Cleone                                   CA         5          648                                      2763      
Clio                                     CA         5          47                                       2764      
Clipper Mills                            CA         5          94                                       2765      
Cloverdale                               CA         5          8735                                     2766      
Clovis                                   CA         5          100437                                   2767      
Clyde                                    CA         5          751                                      2768      
Coachella                                CA         5          43308                                    2769      
Coalinga                                 CA         5          16940                                    2770      
Coarsegold                               CA         5          994                                      2771      
Cobb                                     CA         5          1016                                     2772      
Coffee Creek                             CA         5          142                                      2773      
Cohasset                                 CA         5          933                                      2774      
Cold Springs CDP (El Dorado County)      CA         5          573                                      2775      
Cold Springs CDP (Tuolumne County)       CA         5          163                                      2776      
Coleville                                CA         5          368                                      2777      
Colfax                                   CA         5          2210                                     2778      
College City                             CA         5          188                                      2779      
Collierville                             CA         5          1697                                     2780      
Colma                                    CA         5          1571                                     2781      
Coloma                                   CA         5          874                                      2782      
Colton                                   CA         5          53566                                    2783      
Columbia                                 CA         5          2597                                     2784      
Colusa                                   CA         5          5939                                     2785      
Commerce                                 CA         5          13017                                    2786      
Comptche                                 CA         5          73                                       2787      
Compton                                  CA         5          97955                                    2788      
Concord                                  CA         5          126268                                   2789      
Concow                                   CA         5          550                                      2790      
Contra Costa Centre                      CA         5          5940                                     2791      
Copperopolis                             CA         5          4396                                     2792      
Corcoran                                 CA         5          23216                                    2793      
Corning                                  CA         5          7586                                     2794      
Corona                                   CA         5          159595                                   2795      
Coronado                                 CA         5          24447                                    2796      
Coronita                                 CA         5          3079                                     2797      
Corralitos                               CA         5          2646                                     2798      
Corte Madera                             CA         5          9595                                     2799      
Costa Mesa                               CA         5          112377                                   2800      
Cotati                                   CA         5          7376                                     2801      
Coto de Caza                             CA         5          14554                                    2802      
Cottonwood                               CA         5          3801                                     2803      
Coulterville                             CA         5          224                                      2804      
Country Club                             CA         5          9997                                     2805      
Courtland                                CA         5          512                                      2806      
Covelo                                   CA         5          1346                                     2807      
Covina                                   CA         5          48587                                    2808      
Cowan                                    CA         5          525                                      2809      
Crescent City                            CA         5          7120                                     2810      
Crescent Mills                           CA         5          219                                      2811      
Cressey                                  CA         5          315                                      2812      
Crest                                    CA         5          2712                                     2813      
Crestline                                CA         5          9240                                     2814      
Creston                                  CA         5          22                                       2815      
C-Road                                   CA         5          99                                       2816      
Crockett                                 CA         5          3044                                     2817      
Cromberg                                 CA         5          132                                      2818      
Crowley Lake                             CA         5          654                                      2819      
Crows Landing                            CA         5          207                                      2820      
Cudahy                                   CA         5          24138                                    2821      
Culver City                              CA         5          39469                                    2822      
Cupertino                                CA         5          60171                                    2823      
Cutler                                   CA         5          4569                                     2824      
Cutten                                   CA         5          2999                                     2825      
Cuyama                                   CA         5          91                                       2826      
Cypress                                  CA         5          49008                                    2827      
Daly City                                CA         5          104930                                   2828      
Dana Point                               CA         5          34003                                    2829      
Danville                                 CA         5          43410                                    2830      
Daphnedale Park                          CA         5          90                                       2831      
Darwin                                   CA         5          24                                       2832      
Davenport                                CA         5          297                                      2833      
Davis                                    CA         5          66510                                    2834      
Day Valley                               CA         5          3836                                     2835      
Deer Park                                CA         5          1104                                     2836      
Del Aire                                 CA         5          10692                                    2837      
Delano                                   CA         5          52807                                    2838      
Delft Colony                             CA         5          132                                      2839      
Delhi                                    CA         5          10026                                    2840      
Delleker                                 CA         5          656                                      2841      
Del Mar                                  CA         5          4269                                     2842      
Del Monte Forest                         CA         5          5122                                     2843      
Del Rey                                  CA         5          1457                                     2844      
Del Rey Oaks                             CA         5          1673                                     2845      
Del Rio                                  CA         5          1925                                     2846      
Denair                                   CA         5          5176                                     2847      
Derby Acres                              CA         5          320                                      2848      
Descanso                                 CA         5          1355                                     2849      
Desert Center                            CA         5          207                                      2850      
Desert Edge                              CA         5          4431                                     2851      
Desert Hot Springs                       CA         5          27912                                    2852      
Desert Palms                             CA         5          6826                                     2853      
Desert Shores                            CA         5          1383                                     2854      
Desert View Highlands                    CA         5          2489                                     2855      
Diablo                                   CA         5          818                                      2856      
Diablo Grande                            CA         5          1104                                     2857      
Diamond Bar                              CA         5          56471                                    2858      
Diamond Springs                          CA         5          12459                                    2859      
Dillon Beach                             CA         5          139                                      2860      
Dinuba                                   CA         5          23243                                    2861      
Discovery Bay                            CA         5          14650                                    2862      
Dixon                                    CA         5          18908                                    2863      
Dixon Lane-Meadow Creek                  CA         5          2636                                     2864      
Dobbins                                  CA         5          689                                      2865      
Dogtown                                  CA         5          2337                                     2866      
Dollar Point                             CA         5          1135                                     2867      
Dorrington                               CA         5          286                                      2868      
Dorris                                   CA         5          930                                      2869      
Dos Palos                                CA         5          5068                                     2870      
Dos Palos Y                              CA         5          215                                      2871      
Douglas City                             CA         5          613                                      2872      
Downey                                   CA         5          113407                                   2873      
Downieville                              CA         5          213                                      2874      
Doyle                                    CA         5          452                                      2875      
Drytown                                  CA         5          217                                      2876      
Duarte                                   CA         5          21769                                    2877      
Dublin                                   CA         5          52063                                    2878      
Ducor                                    CA         5          661                                      2879      
Dunnigan                                 CA         5          1183                                     2880      
Dunsmuir                                 CA         5          1552                                     2881      
Durham                                   CA         5          5637                                     2882      
Dustin Acres                             CA         5          523                                      2883      
Dutch Flat                               CA         5          162                                      2884      
Eagleville                               CA         5          74                                       2885      
Earlimart                                CA         5          8709                                     2886      
East Foothills                           CA         5          6437                                     2887      
East Hemet                               CA         5          19180                                    2888      
East Los Angeles                         CA         5          125415                                   2889      
East Nicolaus                            CA         5          213                                      2890      
East Oakdale                             CA         5          2882                                     2891      
Easton                                   CA         5          1964                                     2892      
East Orosi                               CA         5          572                                      2893      
East Palo Alto                           CA         5          29198                                    2894      
East Pasadena                            CA         5          6063                                     2895      
East Porterville                         CA         5          6395                                     2896      
East Quincy                              CA         5          2827                                     2897      
East Rancho Dominguez                    CA         5          15615                                    2898      
East Richmond Heights                    CA         5          3272                                     2899      
East San Gabriel                         CA         5          15980                                    2900      
East Shore                               CA         5          225                                      2901      
East Sonora                              CA         5          2368                                     2902      
East Tulare Villa                        CA         5          954                                      2903      
Eastvale                                 CA         5          56275                                    2904      
East Whittier                            CA         5          10440                                    2905      
Edgewood                                 CA         5          27                                       2906      
Edmundson Acres                          CA         5          343                                      2907      
Edna                                     CA         5          176                                      2908      
Edwards AFB                              CA         5          2401                                     2909      
El Cajon                                 CA         5          102383                                   2910      
El Centro                                CA         5          43570                                    2911      
El Cerrito                               CA         5          24418                                    2912      
El Cerrito                               CA         5          5581                                     2913      
El Dorado Hills                          CA         5          43264                                    2914      
Eldridge                                 CA         5          1287                                     2915      
El Granada                               CA         5          5681                                     2916      
Elizabeth Lake                           CA         5          1735                                     2917      
Elk Creek                                CA         5          151                                      2918      
Elk Grove                                CA         5          161084                                   2919      
Elkhorn                                  CA         5          1139                                     2920      
Elmira                                   CA         5          345                                      2921      
El Monte                                 CA         5          115711                                   2922      
El Nido                                  CA         5          515                                      2923      
El Paso de Robles (Paso Robles)          CA         5          30863                                    2924      
El Portal                                CA         5          467                                      2925      
El Rancho                                CA         5          97                                       2926      
El Rio                                   CA         5          7080                                     2927      
El Segundo                               CA         5          16929                                    2928      
El Sobrante CDP (Contra Costa County)    CA         5          13388                                    2929      
El Sobrante CDP (Riverside County)       CA         5          15788                                    2930      
El Verano                                CA         5          4008                                     2931      
Elverta                                  CA         5          5551                                     2932      
Emerald Lake Hills                       CA         5          4495                                     2933      
Emeryville                               CA         5          10830                                    2934      
Empire                                   CA         5          4675                                     2935      
Encinitas                                CA         5          61682                                    2936      
Escalon                                  CA         5          7320                                     2937      
Escondido                                CA         5          149079                                   2938      
Esparto                                  CA         5          3298                                     2939      
Etna                                     CA         5          717                                      2940      
Eucalyptus Hills                         CA         5          5292                                     2941      
Eureka                                   CA         5          26985                                    2942      
Exeter                                   CA         5          10481                                    2943      
Fairbanks Ranch                          CA         5          2939                                     2944      
Fairfax                                  CA         5          7584                                     2945      
Fairfield                                CA         5          109468                                   2946      
Fairhaven                                CA         5          222                                      2947      
Fairmead                                 CA         5          2187                                     2948      
Fair Oaks                                CA         5          31537                                    2949      
Fairview                                 CA         5          10568                                    2950      
Fallbrook                                CA         5          31573                                    2951      
Fall River Mills                         CA         5          548                                      2952      
Farmersville                             CA         5          10704                                    2953      
Farmington                               CA         5          80                                       2954      
Fellows                                  CA         5          79                                       2955      
Felton                                   CA         5          3991                                     2956      
Ferndale                                 CA         5          1354                                     2957      
Fetters Hot Springs-Agua Caliente        CA         5          5019                                     2958      
Fiddletown                               CA         5          83                                       2959      
Fieldbrook                               CA         5          823                                      2960      
Fields Landing                           CA         5          229                                      2961      
Fillmore                                 CA         5          15296                                    2962      
Firebaugh                                CA         5          8084                                     2963      
Fish Camp                                CA         5          51                                       2964      
Florence-Graham                          CA         5          63177                                    2965      
Florin                                   CA         5          50899                                    2966      
Floriston                                CA         5          40                                       2967      
Flournoy                                 CA         5          139                                      2968      
Folsom                                   CA         5          74156                                    2969      
Fontana                                  CA         5          203677                                   2970      
Foothill Farms                           CA         5          33090                                    2971      
Forbestown                               CA         5          344                                      2972      
Ford City                                CA         5          4085                                     2973      
Foresthill                               CA         5          1124                                     2974      
Forest Meadows                           CA         5          1568                                     2975      
Forest Ranch                             CA         5          831                                      2976      
Forestville                              CA         5          3367                                     2977      
Fort Bidwell                             CA         5          204                                      2978      
Fort Bragg                               CA         5          7261                                     2979      
Fort Dick                                CA         5          918                                      2980      
Fort Irwin                               CA         5          9238                                     2981      
Fort Jones                               CA         5          978                                      2982      
Fortuna                                  CA         5          11904                                    2983      
Fort Washington                          CA         5          734                                      2984      
Foster City                              CA         5          32377                                    2985      
Fountain Valley                          CA         5          56696                                    2986      
Fowler                                   CA         5          6006                                     2987      
Franklin CDP (Merced County)             CA         5          7511                                     2988      
Franklin CDP (Sacramento County)         CA         5          97                                       2989      
Frazier Park                             CA         5          2654                                     2990      
Freedom                                  CA         5          3027                                     2991      
Freeport                                 CA         5          51                                       2992      
Fremont                                  CA         5          225221                                   2993      
French Camp                              CA         5          4057                                     2994      
French Gulch                             CA         5          494                                      2995      
French Valley                            CA         5          27752                                    2996      
Fresno                                   CA         5          510451                                   2997      
Friant                                   CA         5          244                                      2998      
Fruitdale                                CA         5          980                                      2999      
Fruitridge Pocket                        CA         5          5725                                     3000      
Fuller Acres                             CA         5          970                                      3001      
Fullerton                                CA         5          138976                                   3002      
Fulton                                   CA         5          638                                      3003      
Furnace Creek                            CA         5          187                                      3004      
Galt                                     CA         5          24607                                    3005      
Garberville                              CA         5          988                                      3006      
Gardena                                  CA         5          59931                                    3007      
Garden Acres                             CA         5          11278                                    3008      
Garden Farms                             CA         5          265                                      3009      
Garden Grove                             CA         5          174721                                   3010      
Garey                                    CA         5          170                                      3011      
Garnet                                   CA         5          6844                                     3012      
Gasquet                                  CA         5          596                                      3013      
Gazelle                                  CA         5          56                                       3014      
Georgetown                               CA         5          2473                                     3015      
Gerber                                   CA         5          1129                                     3016      
Geyserville                              CA         5          1088                                     3017      
Gilroy                                   CA         5          51649                                    3018      
Glendale                                 CA         5          196984                                   3019      
Glendora                                 CA         5          51137                                    3020      
Glen Ellen                               CA         5          593                                      3021      
Golden Hills                             CA         5          8313                                     3022      
Gold Mountain                            CA         5          21                                       3023      
Gold River                               CA         5          7639                                     3024      
Goleta                                   CA         5          30541                                    3025      
Gonzales                                 CA         5          8378                                     3026      
Good Hope                                CA         5          8500                                     3027      
Goodyears Bar                            CA         5          25                                       3028      
Goshen                                   CA         5          3734                                     3029      
Graeagle                                 CA         5          597                                      3030      
Grand Terrace                            CA         5          12331                                    3031      
Grangeville                              CA         5          549                                      3032      
Granite Bay                              CA         5          22387                                    3033      
Granite Hills                            CA         5          3282                                     3034      
Grass Valley                             CA         5          12855                                    3036      
Graton                                   CA         5          1643                                     3037      
Grayson                                  CA         5          855                                      3038      
Greeley Hill                             CA         5          530                                      3039      
Greenacres                               CA         5          5321                                     3040      
Green Acres                              CA         5          2460                                     3041      
Greenfield                               CA         5          4347                                     3042      
Greenfield                               CA         5          16869                                    3043      
Greenhorn                                CA         5          180                                      3044      
Green Valley CDP (Los Angeles County)    CA         5          1012                                     3045      
Green Valley CDP (Solano County)         CA         5          1298                                     3046      
Greenview                                CA         5          161                                      3047      
Greenville                               CA         5          997                                      3048      
Grenada                                  CA         5          484                                      3049      
Gridley                                  CA         5          6579                                     3050      
Grimes                                   CA         5          387                                      3051      
Grizzly Flats                            CA         5          880                                      3052      
Groveland                                CA         5          653                                      3053      
Grover Beach                             CA         5          13409                                    3054      
Guadalupe                                CA         5          7218                                     3055      
Guerneville                              CA         5          3788                                     3056      
Guinda                                   CA         5          749                                      3057      
Gustine                                  CA         5          5656                                     3058      
Hacienda Heights                         CA         5          55158                                    3059      
Half Moon Bay                            CA         5          12052                                    3060      
Hamilton Branch                          CA         5          602                                      3061      
Hamilton City                            CA         5          1917                                     3062      
Hanford                                  CA         5          54790                                    3063      
Happy Camp                               CA         5          986                                      3064      
Harbison Canyon                          CA         5          4130                                     3065      
Hardwick                                 CA         5          145                                      3066      
Hartley                                  CA         5          2908                                     3068      
Hasley Canyon                            CA         5          1144                                     3069      
Hat Creek                                CA         5          267                                      3070      
Hawaiian Gardens                         CA         5          14475                                    3071      
Hawthorne                                CA         5          86564                                    3072      
Hayfork                                  CA         5          2785                                     3073      
Hayward                                  CA         5          152401                                   3074      
Healdsburg                               CA         5          11539                                    3075      
Heber                                    CA         5          4370                                     3076      
Hemet                                    CA         5          82118                                    3077      
Herald                                   CA         5          1210                                     3078      
Hercules                                 CA         5          24838                                    3079      
Herlong                                  CA         5          1583                                     3080      
Hermosa Beach                            CA         5          19747                                    3081      
Hesperia                                 CA         5          92309                                    3082      
Hickman                                  CA         5          526                                      3083      
Hidden Hills                             CA         5          1557                                     3084      
Hidden Meadows                           CA         5          3388                                     3085      
Hidden Valley Lake                       CA         5          5986                                     3086      
Highgrove                                CA         5          3784                                     3087      
Highland                                 CA         5          54314                                    3088      
Highlands-Baywood Park                   CA         5          4217                                     3089      
Hillsborough                             CA         5          11253                                    3090      
Hilmar-Irwin                             CA         5          5313                                     3091      
Hiouchi                                  CA         5          327                                      3092      
Hollister                                CA         5          36529                                    3093      
Holtville                                CA         5          6172                                     3094      
Home Garden                              CA         5          1816                                     3095      
Home Gardens                             CA         5          11420                                    3096      
Homeland                                 CA         5          6038                                     3097      
Homestead Valley                         CA         5          3317                                     3098      
Homewood Canyon                          CA         5          8                                        3099      
Honcut                                   CA         5          166                                      3100      
Hood                                     CA         5          293                                      3101      
Hoopa                                    CA         5          2958                                     3102      
Hopland                                  CA         5          819                                      3103      
Hornbrook                                CA         5          269                                      3104      
Hornitos                                 CA         5          51                                       3105      
Hughson                                  CA         5          7032                                     3106      
Humboldt Hill                            CA         5          3812                                     3107      
Huntington Beach                         CA         5          197752                                   3108      
Huntington Park                          CA         5          59003                                    3109      
Huron                                    CA         5          6792                                     3110      
Hyampom                                  CA         5          183                                      3111      
Hydesville                               CA         5          1272                                     3112      
Idlewild                                 CA         5          15                                       3113      
Idyllwild-Pine Cove                      CA         5          2616                                     3114      
Imperial                                 CA         5          16215                                    3115      
Imperial Beach                           CA         5          27051                                    3116      
Independence                             CA         5          657                                      3117      
Indian Falls                             CA         5          115                                      3118      
Indianola                                CA         5          909                                      3119      
Indian Wells                             CA         5          5158                                     3120      
Indio                                    CA         5          84094                                    3121      
Indio Hills                              CA         5          1042                                     3122      
Industry                                 CA         5          433                                      3123      
Inglewood                                CA         5          111411                                   3124      
Acalanes Ridge                           CA         5          1139                                     3125      
Interlaken                               CA         5          6817                                     3126      
Inverness                                CA         5          1089                                     3127      
Inyokern                                 CA         5          702                                      3128      
Ione                                     CA         5          7171                                     3129      
