Report of US Population from 2015
City                                     State      ID         Population of City                       Count     
Noatak                                   AK         1          443                                      168       
Nome                                     AK         1          3773                                     169       
Nondalton                                AK         1          182                                      170       
Noorvik                                  AK         1          608                                      171       
North Pole                               AK         1          2265                                     172       
Northway                                 AK         1          131                                      173       
Northway Junction                        AK         1          64                                       174       
Northway Village                         AK         1          92                                       175       
Nuiqsut                                  AK         1          345                                      176       
Nulato                                   AK         1          285                                      177       
Nunam Iqua                               AK         1          129                                      178       
Nunapitchuk                              AK         1          554                                      179       
Old Harbor                               AK         1          249                                      180       
Oscarville                               AK         1          22                                       181       
Ouzinkie                                 AK         1          230                                      182       
Palmer                                   AK         1          6449                                     183       
Paxson                                   AK         1          38                                       184       
Pedro Bay                                AK         1          12                                       185       
Pelican                                  AK         1          79                                       186       
Perryville                               AK         1          98                                       187       
Petersburg                               AK         1          3024                                     188       
Pilot Point                              AK         1          53                                       190       
Pilot Station                            AK         1          582                                      191       
Pitkas Point                             AK         1          136                                      192       
Platinum                                 AK         1          42                                       193       
Pleasant Valley                          AK         1          168                                      194       
Point Baker                              AK         1          41                                       195       
Point Hope                               AK         1          562                                      196       
Point Lay                                AK         1          285                                      197       
Point MacKenzie                          AK         1          466                                      198       
Port Alexander                           AK         1          31                                       202       
Port Alsworth                            AK         1          147                                      203       
Port Clarence                            AK         1          40                                       204       
Port Graham                              AK         1          206                                      205       
Port Heiden                              AK         1          81                                       206       
Port Lions                               AK         1          231                                      207       
Port Protection                          AK         1          82                                       208       
Primrose                                 AK         1          73                                       209       
Prudhoe Bay                              AK         1          2724                                     210       
Quinhagak                                AK         1          661                                      211       
Rampart                                  AK         1          7                                        212       
Red Devil                                AK         1          22                                       213       
Red Dog Mine                             AK         1          81                                       214       
Ridgeway                                 AK         1          2195                                     215       
Ruby                                     AK         1          202                                      216       
Russian Mission                          AK         1          410                                      217       
St. George                               AK         1          53                                       218       
St. Mary's                               AK         1          583                                      219       
St. Michael                              AK         1          396                                      220       
St. Paul                                 AK         1          576                                      221       
Salamatof                                AK         1          1110                                     222       
Salcha                                   AK         1          984                                      223       
Sand Point                               AK         1          1188                                     224       
Savoonga                                 AK         1          883                                      225       
Saxman                                   AK         1          401                                      226       
Scammon Bay                              AK         1          488                                      227       
Selawik                                  AK         1          794                                      228       
Seldovia                                 AK         1          243                                      229       
Seldovia Village                         AK         1          174                                      230       
Seward                                   AK         1          2710                                     231       
Shageluk                                 AK         1          43                                       232       
Shaktoolik                               AK         1          223                                      233       
Shishmaref                               AK         1          573                                      234       
Shungnak                                 AK         1          342                                      235       
Silver Springs                           AK         1          168                                      236       
Sitka city and borough                   AK         1          8943                                     237       
Skagway                                  AK         1          957                                      238       
Skwentna                                 AK         1          42                                       239       
Slana                                    AK         1          84                                       240       
Sleetmute                                AK         1          96                                       241       
Soldotna                                 AK         1          4409                                     242       
South Naknek                             AK         1          63                                       243       
South Van Horn                           AK         1          581                                      244       
Stebbins                                 AK         1          547                                      245       
Steele Creek                             AK         1          6272                                     246       
Sterling                                 AK         1          6054                                     247       
Stevens Village                          AK         1          25                                       248       
Stony River                              AK         1          40                                       249       
Sunrise                                  AK         1          15                                       250       
Susitna North                            AK         1          1404                                     252       
Sutton-Alpine                            AK         1          1602                                     253       
Takotna                                  AK         1          49                                       254       
Talkeetna                                AK         1          616                                      255       
Tanacross                                AK         1          127                                      256       
Tanaina                                  AK         1          9640                                     257       
Tanana                                   AK         1          277                                      258       
Tatitlek                                 AK         1          86                                       259       
Tazlina                                  AK         1          358                                      260       
Teller                                   AK         1          165                                      261       
Tenakee Springs                          AK         1          150                                      262       
Tetlin                                   AK         1          121                                      263       
Thorne Bay                               AK         1          566                                      264       
Togiak                                   AK         1          787                                      265       
Tok                                      AK         1          1331                                     266       
Toksook Bay                              AK         1          549                                      267       
Tonsina                                  AK         1          30                                       269       
Trapper Creek                            AK         1          432                                      270       
Tuluksak                                 AK         1          436                                      271       
Tuntutuliak                              AK         1          466                                      272       
Tununak                                  AK         1          294                                      273       
Twin Hills                               AK         1          95                                       274       
Two Rivers                               AK         1          238                                      275       
Tyonek                                   AK         1          214                                      276       
Ugashik                                  AK         1          19                                       277       
Unalakleet                               AK         1          710                                      278       
Unalaska                                 AK         1          4619                                     279       
Upper Kalskag                            AK         1          284                                      280       
